b,h,h0,ah,l,fc,ft,fy1,As1,Vu
127,254,203.2,2.3,1341.12,48.33813637,3.474441904,413.7931034,1013.414958,93.746229
127,254,203.2,2,1219.2,48.33813637,3.474441904,413.7931034,1013.414958,167.1146316
127,254,208.026,2.3,1363.3196,48.33813637,3.474441904,413.7931034,467.1209573,82.63052569
127,254,208.026,2,1238.504,48.33813637,3.474441904,413.7931034,467.1209573,55.91836788
127,254,201.676,2.3,1334.1096,52.14896327,3.560580187,413.7931034,1289.452978,143.5624722
127,254,201.676,2,1213.104,52.14896327,3.560580187,413.7931034,1289.452978,107.0654518
127,254,201.676,1,809.752,52.14896327,3.560580187,413.7931034,1289.452978,205.7329838
127,254,208.026,2.3,1363.3196,52.14896327,3.560580187,413.7931034,593.7978271,64.39372569
127,254,208.026,1,822.452,52.14896327,3.560580187,413.7931034,593.7978271,213.7418418
127,254,206.502,2.3,1356.3092,50.52008939,3.525047987,413.7931034,855.068871,57.27556884
127,254,206.502,2,1232.408,50.52008939,3.525047987,413.7931034,855.068871,107.069188
127,254,206.502,1,819.404,50.52008939,3.525047987,413.7931034,855.068871,244.8772519
304.8,406.4,368.3,2.172413793,1778,31.42206897,2.888324273,519.3103448,2121.837569,290.2979808
203.2,457.2,390.7067677,2.283490008,1828.8,17.98841379,2.125264072,370.4137931,775.8958274,90.07535172
203.2,457.2,390.8272122,2.282786285,1828.8,21.736,2.358389954,370.4137931,775.8958274,108.9793517
203.2,457.2,391.1553769,1.948074972,1828.8,19.71806897,2.235333012,370.4137931,775.8958274,122.2193876
203.2,457.2,390.4428752,1.951629927,1828.8,19.99481379,2.252534091,370.4137931,775.8958274,95.42018756
203.2,457.2,390.2244863,1.952722156,1828.8,19.66041379,2.23173581,370.4137931,775.8958274,129.2049716
203.2,457.2,390.9118117,1.559431007,1828.8,20.64055172,2.292258218,370.4137931,775.8958274,175.6540886
203.2,457.2,390.5224611,1.560985758,1828.8,19.71806897,2.235333012,370.4137931,775.8958274,168.2948726
